Time (s),rv_z,rv_y,rv_x,la_z,la_y,la_x,la_r,rv_r,ra_x,ra_y,ra_z,ra_r,ID,TestID
-0.039930109258067274,-0.7923124149061886,-0.5887407637423929,0.2971498384808771,-0.05886412914415349,-0.05351079186892668,-0.01582947233819526,-0.061774259481337995,1.074550095057428,-92.10700599175709,-149.72612158231027,96.78266589981982,-14.883777226461405,2024-05-23-c-sm2,-c-
-0.03990510925806725,-0.7861680352992967,-0.5964332577401981,0.2936469555422715,-0.039992524053962586,-0.04530709668250918,-0.0024191829853357494,-0.05815848234776583,1.0729694324657209,-156.39433950761028,6.107137342441013,343.0017979145106,168.92104368615853,2024-05-23-c-sm2,-c-
-0.03985179753963259,-0.755401742490935,-0.5885424258455276,0.28371533925208037,-0.023727191390540234,-0.03171235044702052,0.0039441448564010405,-0.04279955053135451,1.0416802788505028,-264.4208331068472,278.60248644812793,769.4788833757193,651.9264537204474,2024-05-23-c-sm2,-c-
-0.039796631975808044,-0.7066096543379209,-0.5689853849327633,0.26940980695355077,-0.010592209074009956,-0.017744235737972514,0.005943715111257287,-0.025562054617086008,0.9886377651183866,-333.4301494924226,477.32739859132226,1071.9616144145673,1011.6890986554733,2024-05-23-c-sm2,-c-
-0.039752553548544206,-0.6455950884256735,-0.5412220618237729,0.2525772590248019,-0.0026215854883662737,-0.006834067974018587,0.007574249941494079,-0.012734034771894859,0.9208622999613281,-367.8758706353929,611.1729298017997,1267.2580684690329,1246.1179325291491,2024-05-23-c-sm2,-c-
-0.03969872651062198,-0.5772733548672123,-0.5082804677899604,0.23482715461197512,-0.00023413105360932385,-0.00037935428002947025,0.012776218197595342,-0.006627194626726951,0.8443749571061965,-372.52179665134565,689.5985841924933,1374.0693789478612,1373.9924249685512,2024-05-23-c-sm2,-c-
-0.03965034636503388,-0.5055776579070818,-0.47267457924190037,0.21753001408163097,-0.001258395407993343,0.002040756549036876,0.021194923899957103,-0.005545054228633495,0.7640854062685212,-351.7342042502615,723.4991006733966,1411.240055428841,1416.8988249238869,2024-05-23-c-sm2,-c-
-0.0396000970977535,-0.4335388567005225,-0.4363429335599975,0.2018586689089127,-0.0021218949017405703,0.0026418395582410714,0.029021401150656292,-0.005505077094836608,0.6838392749976436,-309.6618522810121,724.0128474843222,1394.9293697048656,1394.8544658096484,2024-05-23-c-sm2,-c-
-0.03954979481519981,-0.3634742283127895,-0.4006856703308449,0.1887687635754936,-0.001531333179077679,0.004160365271846073,0.0335572669974305,-0.0037572631083505337,0.6065925844301856,-252.26697360950425,700.8534690015279,1338.1320319763481,1325.1766173035003,2024-05-23-c-sm2,-c-
-0.0395001596665683,-0.2971151608790822,-0.3666699624972215,0.17883690626992627,-0.0018366049287946579,0.007002661479620947,0.034829983988615296,-0.0012391579428858712,0.5345469877876341,-189.20276909271044,661.6643635435056,1252.3660115508217,1223.4586734767345,2024-05-23-c-sm2,-c-
-0.03944991858496569,-0.2356271345339021,-0.33493160981387127,0.17205342138818674,-0.005152529755427432,0.008888251536736502,0.033574914746386596,-0.0008847794232134665,0.4691828380758673,-132.69358126399018,612.4703833623689,1148.743565885635,1103.7487172218962,2024-05-23-c-sm2,-c-
-0.03940002332740409,-0.17963031166671373,-0.3058352999983617,0.1677724828654916,-0.010258655922054633,0.007754629784903405,0.030088935532844585,-0.00393479403561961,0.41127292690324996,-93.55634864728671,558.3565897358253,1036.8991086522,977.0637990305884,2024-05-23-c-sm2,-c-
-0.03935000510100242,-0.12932673104487746,-0.27950832667766595,0.16490272124542255,-0.013917301591208145,0.0029374991014132212,0.02472853832988584,-0.009721463521122298,0.36096569927607397,-77.59369226667226,503.5503214910839,923.1842070305277,850.2070314622438,2024-05-23-c-sm2,-c-
