Time (s),rv_z,rv_y,rv_x,la_z,la_y,la_x,la_r,rv_r,ra_x,ra_y,ra_z,ra_r,ID,TestID
-0.039930109258067274,0.203971503450726,0.04452545261833697,0.009133263581910248,0.07452771515621533,-0.08363037789481487,-0.02593143697770227,-0.07170947558221441,0.22497988530497656,-62.57792115546083,-398.81746654259496,-379.0438544029881,319.6791378479918,2024-05-23-c-sh2,-c-
-0.03990510925806725,0.18532601584234693,0.023898184180924813,0.007127601327896823,0.06197369398535092,-0.08131754232970845,-0.020506423724205785,-0.07210708973343394,0.2058242540014246,-119.68322622308061,-377.6191223190858,-422.79216052393053,341.9613082851357,2024-05-23-c-sh2,-c-
-0.03985179753963259,0.16230569762187347,0.005390750165863625,-0.0005885914328787444,0.044193981676711055,-0.0708379439278517,-0.0008109574857222412,-0.06424700067748401,0.18439634697884932,-219.05023937801909,-333.219365341583,-493.8516865904028,392.1164246175582,2024-05-23-c-sh2,-c-
-0.039796631975808044,0.13655425740684696,-0.010796542573798137,-0.012530955002386301,0.03234263485082399,-0.05771452345763106,0.0203799999301019,-0.051471068874941905,0.16309742926008536,-290.7043991708323,-285.17836754697794,-532.6201890505642,424.3090344274127,2024-05-23-c-sh2,-c-
-0.039752553548544206,0.10965708894035725,-0.024499876809398673,-0.0274125637424434,0.028594672146396174,-0.0450274399918178,0.03616860554972399,-0.03772220197363341,0.1447786402011566,-338.2106669475347,-236.0818162235393,-541.4579039455701,431.9567829466213,2024-05-23-c-sh2,-c-
-0.03969872651062198,0.08302187723583013,-0.035777514416716436,-0.044105554089621336,0.028845796947683758,-0.034728119239554545,0.04374019052319816,-0.02656655510402639,0.1323061247433977,-363.75111421857304,-190.58978986740829,-525.0121736659322,415.9286104985881,2024-05-23-c-sh2,-c-
-0.03965034636503388,0.05776928179730425,-0.04493164601670374,-0.061541207556782336,0.027906086375484543,-0.02735112927922856,0.04272792810234111,-0.019630771228791533,0.12758709824547224,-367.33627068092954,-152.09149774375385,-489.3642259750774,378.52280366083926,2024-05-23-c-sh2,-c-
-0.0396000970977535,0.0346988648618627,-0.052359454411655945,-0.07859271355019593,0.023038315831179323,-0.02192103462389916,0.03529516529372367,-0.015998164806003246,0.13034554863771636,-347.45805261842304,-120.63696715657562,-440.6737983025503,321.14337694414735,2024-05-23-c-sh2,-c-
-0.03954979481519981,0.01431531219058968,-0.05836813295292534,-0.09404054521110622,0.015610329373900653,-0.018124714045240076,0.02558333109538661,-0.014424435222090692,0.1380600933150813,-303.3992972907221,-93.65077792311754,-384.46072852700667,245.43377078526976,2024-05-23-c-sh2,-c-
-0.0395001596665683,-0.0031337977672973444,-0.06309732242453166,-0.1066861756717496,0.009613589932991287,-0.016654457784068377,0.017327920274799492,-0.014592510155690075,0.1473816058040735,-237.94529980676504,-68.37942063867494,-325.46417431945224,156.01171777268593,2024-05-23-c-sh2,-c-
-0.03944991858496569,-0.01761769501781475,-0.06657886523735672,-0.115588607584264,0.0078573001079605,-0.016393935657726955,0.012526405362614783,-0.015003003542198634,0.15553166852881176,-158.56933449135528,-43.80822712209189,-267.50093576488587,62.37269716928478,2024-05-23-c-sh2,-c-
-0.03940002332740409,-0.029270481120244975,-0.06885093535730466,-0.12029664151336616,0.009867102375814688,-0.014295555796237203,0.011597491045883146,-0.01277391778242809,0.16086519703563557,-75.87637604633576,-20.750241104371806,-213.44902856404056,-21.029713087742635,2024-05-23-c-sh2,-c-
-0.03935000510100242,-0.038349187650677685,-0.07002667956835765,-0.12092977758137838,0.013707069861032081,-0.009278981618421334,0.0129883465340827,-0.007218682724270398,0.16282831571209028,-0.09377297402896545,-0.5313879023159753,-165.5599899656158,-76.25498217480285,2024-05-23-c-sh2,-c-
-0.03929998752523308,-0.045213069893265304,-0.07027686436809995,-0.11805955120324965,0.019051398099866806,-0.003863568911526505,0.013796785172112781,-0.0011106212870682919,0.16163987577173294,62.11590845762454,16.45954531606381,-125.51231155410821,-91.5429595181327,2024-05-23-c-sh2,-c-
-0.03925000997246253,-0.050287008582547144,-0.06975351525731491,-0.11247171912809634,0.026422562855609677,-0.0008749769175151467,0.013009830099413026,0.002774468532799612,0.15789628770903713,108.6183323187979,31.277634704736847,-93.81599400034543,-79.19455799341975,2024-05-23-c-sh2,-c-
-0.039199994802410584,-0.05398125906975839,-0.06852189111818986,-0.10495125036385014,0.0334468811067133,6.875143888807056e-05,0.012785343255791108,0.004715651023361689,0.15224702531345075,140.4105360480551,45.63828354646962,-69.32671964717674,-60.27824231948341,2024-05-23-c-sh2,-c-
-0.039150001562178544,-0.05660627032372329,-0.0665624771232315,-0.09618419791577101,0.03474735764603125,0.0018984444776071197,0.015165448111231501,0.006931933656714628,0.14523518250100168,159.5414911567264,60.66301751163867,-49.78824484355868,-44.90974797650529,2024-05-23-c-sh2,-c-
-0.039100000257485876,-0.058346673330572675,-0.06382837958758951,-0.08675063364065763,0.026915976999782362,0.005522955628885162,0.019760779797552384,0.009788615453451222,0.13727679495984163,168.11873657825706,76.71840570485617,-33.06840162729827,-35.35070781419827,2024-05-23-c-sh2,-c-
-0.03904999924320349,-0.05929970026291149,-0.060263426773309356,-0.07712585665042541,0.012824126484117793,0.006912917433877674,0.02491073798453059,0.009844807540771994,0.1286582169763134,168.31636644251182,94.61166830441324,-17.931306662316516,-30.31880221714104,2024-05-23-c-sh2,-c-
-0.03900000062216387,-0.05952639377326265,-0.0557400029777116,-0.06767252938888656,0.00036458303960777705,0.00138185195153262,0.029054147815939353,0.0034435761962164912,0.1194951655356885,162.050031205569,116.25420093524767,-4.158238714980907,-26.77775127980655,2024-05-23-c-sh2,-c-
-0.038949999668633925,-0.059102113910867865,-0.050010796900347945,-0.058674385922348644,-0.0034305437951940992,-0.009701576213511864,0.03197473942630882,-0.007549560916954912,0.10974015077387562,150.03704008139803,143.28902757125232,7.081079853425188,-21.73057305768603,2024-05-23-c-sh2,-c-
-0.0389000001040946,-0.05820487556437839,-0.04278389044114965,-0.05042235777322692,0.003122901757721827,-0.019266663743796708,0.035309330697674286,-0.015888728770141025,0.09933783455404957,131.4311518378946,174.87335558307666,12.739844778104093,-14.248339922713397,2024-05-23-c-sh2,-c-
-0.038850000012210575,-0.057214719209515694,-0.033896251562603466,-0.0432848031310394,0.017207775046874305,-0.021391749952154537,0.04016012346028059,-0.015639517067180808,0.08848433877126113,104.77926446423473,207.2286696255546,8.938140860252403,-5.793878002641291,2024-05-23-c-sh2,-c-
-0.038799999954194336,-0.056697651254811396,-0.023433813699157282,-0.03769796371928374,0.0344316936219763,-0.016179263543685818,0.04494543771624985,-0.007395569440719174,0.07782971425302368,69.53352778285742,235.93202561668673,-5.943347255200289,2.623063496619467,2024-05-23-c-sh2,-c-
-0.03875000003877175,-0.057195643711494014,-0.011675839221497803,-0.03408498274523405,0.05035592699930326,-0.008490499558019615,0.04751578555326081,0.0031227636670724257,0.06851455537190933,26.940855588848894,258.93888663914566,-28.423417141965672,13.256696047105324,2024-05-23-c-sh2,-c-
-0.03869999997890201,-0.05892658274546632,0.001087284744194339,-0.03275741055287936,0.06137877744706012,-0.0033644362540865558,0.04841768783288856,0.010267046224255116,0.06204032127621861,-20.044995334080845,277.4698043088218,-50.26204920990317,29.545954524726085,2024-05-23-c-sh2,-c-
-0.038650000006905647,-0.06160843840894275,0.014698350988821478,-0.03384301467112278,0.06533186944572399,-0.0027455311445157005,0.04976684871252166,0.011825977221946227,0.05987391186603581,-67.3741592886682,294.26466889012625,-62.18512941104301,51.71192802133169,2024-05-23-c-sh2,-c-
-0.03860000000051768,-0.06453168546302906,0.02914096141264412,-0.037248358874226964,0.0617692752427169,-0.005529965665531655,0.051347230444948024,0.008659087160249657,0.06269563467262307,-110.50567198481437,311.186027298347,-58.225675474584584,76.68392112607313,2024-05-23-c-sh2,-c-
-0.03854999999723448,-0.06681759573285964,0.04444416349809338,-0.042647114262085124,0.05260362314241003,-0.009165454689336161,0.05035391293353187,0.003273872487838614,0.06997272635028662,-145.0567085959506,328.03125997211345,-37.80204574543401,100.97539540128406,2024-05-23-c-sh2,-c-
-0.03850000000241339,-0.06769847981403085,0.06057129718929272,-0.04950756212630303,0.04264605501063891,-0.011238913942782869,0.045119976721764606,-0.0012181028033868557,0.08049751545165638,-167.89534621989043,342.75371703670066,-4.868645765302894,121.8625075738172,2024-05-23-c-sh2,-c-
-0.03844999999865839,-0.06669105008584822,0.07734674498120074,-0.05719018127655524,0.03795406909434744,-0.010601927385038956,0.03710803137460846,-0.002425158004206951,0.09310868645269628,-178.37828773214028,352.2976192545694,34.585445955596036,137.08907169824016,2024-05-23-c-sh2,-c-
-0.03840000000045633,-0.06362652499492943,0.09442826889418697,-0.06509892329199815,0.041161633627889105,-0.00678867328430921,0.028885868909243335,0.0008394937676405867,0.10692271659490342,-178.56456597512033,353.46843078865834,75.05243437601003,144.72603479760375,2024-05-23-c-sh2,-c-
-0.038350000000016864,-0.058572396424705284,0.1113207978395039,-0.07280017026654836,0.04889090688086087,0.0003467406347367197,0.021487797030929227,0.008336494783557136,0.1212554822204558,-171.7594451010023,343.71636162217084,112.97861742892287,143.40002137062123,2024-05-23-c-sh2,-c-
-0.03829999999983348,-0.05171525302849509,0.12742711483584135,-0.08002840019457946,0.05542958391039603,0.009282228608105347,0.014666766660101922,0.017589700131808383,0.13549527032865852,-160.24230786387037,321.7488015233561,146.8018617717745,132.5982211988993,2024-05-23-c-sh2,-c-
-0.038250000000150046,-0.04327880002398569,0.14212288777127674,-0.08657793344541645,0.05829629707256907,0.016864333861456027,0.0092592280436107,0.025070501225878283,0.14902296256627479,-143.70934677455293,287.8614065051795,175.74914460335697,112.74207675137927,2024-05-23-c-sh2,-c-
-0.03819999999991478,-0.033526928344617166,0.15484046526579645,-0.09215286726451576,0.059726011108606966,0.020041032688880356,0.007973994975353928,0.028340908402016196,0.16119163216329466,-119.42405406654036,243.95164264824695,198.2530021275197,84.89340285317871,2024-05-23-c-sh2,-c-
-0.038150000000030056,-0.022840089587691424,0.16514526181553846,-0.09627387124455142,0.06326152643024792,0.01759298026190348,0.0132747447463561,0.02704876171113857,0.17134882771100116,-84.15191927201117,193.18277631221625,211.38355808768745,50.78471113157758,2024-05-23-c-sh2,-c-
-0.03810000000000007,-0.01177516231230609,0.17278595267645494,-0.0983215915841977,0.06933312959273573,0.011230370619310426,0.025240365359962304,0.02317052242986739,0.17889100851415282,-36.8613828713556,139.25155115469173,212.11014301421247,14.305467227887961,2024-05-23-c-sh2,-c-
-0.03804999999999001,-0.0010156650627278427,0.17769762671044434,-0.09771354192416767,0.07401191640764358,0.004294255192162533,0.0412650733799537,0.019252889059372502,0.18334632279241336,19.70152174684174,85.33744627851284,199.35650635161,-16.214963460839044,2024-05-23-c-sh2,-c-
-0.03800000000000933,0.008773898546397207,0.17994690708374278,-0.09410497180199406,0.0714463977783344,-0.0010716610714960328,0.056268836017485536,0.01562873936657072,0.18445172237740937,79.83228190093514,33.17695776833065,174.87516987936866,-29.049459582678224,2024-05-23-c-sh2,-c-
-0.03794999999999458,0.01708526214875125,0.1796425322667138,-0.08748384612655452,0.058665401527147235,-0.0048776601201876435,0.06420502291230029,0.010691805917306119,0.18216991388272896,137.37428056553324,-17.122549049499813,142.31441896062594,-17.561434543608954,2024-05-23-c-sh2,-c-
-0.03790000000000199,0.023618750666001935,0.17686186195822906,-0.07812107613792094,0.039000444338560744,-0.00817520647590464,0.06149276372617166,0.003629687354701261,0.1766337041179784,187.97297432488122,-66.3677470048566,105.62952006058715,13.504012088430132,2024-05-23-c-sh2,-c-
-0.03784999999999995,0.028261624378351995,0.17163296734566427,-0.06644008108654645,0.019222494483125477,-0.011888012721245067,0.04896976661250258,-0.0048176965551475215,0.1680718753138575,229.74782432239786,-115.20023943293106,68.2662878602887,54.990453776192396,2024-05-23-c-sh2,-c-
-0.037799999999999404,0.031058789675572726,0.16396904779437194,-0.05289982609816109,0.003991470645790557,-0.016033151559510905,0.03182980773283734,-0.01303443148426009,0.15678593360855508,262.37528405146276,-163.49255649350502,33.498335459488494,99.93107540145195,2024-05-23-c-sh2,-c-
-0.037750000000000575,0.032224868147842665,0.1539109214757496,-0.03795608507388002,-0.00522537183604764,-0.0194929567766845,0.01818431245249425,-0.01893635084937284,0.14320048834741841,285.40406158665877,-210.464923950122,4.955600325486251,143.13688161546952,2024-05-23-c-sh2,-c-
-0.03769999999999967,0.03216775993166309,0.14154976517879544,-0.02211295233197498,-0.008558845825627007,-0.020629237189589422,0.013976810894547984,-0.020794734299629303,0.1279588754467145,297.072199325325,-254.86644302152052,-13.954057506986919,179.62891721385353,2024-05-23-c-sh2,-c-
