Time (s),rv_z,rv_y,rv_x,la_z,la_y,la_x,la_r,rv_r,ra_x,ra_y,ra_z,ra_r,ID,TestID
-0.039930109258067274,-0.4578215393768792,0.3557526491693212,0.1362277747897865,0.049619840891990896,0.03830637167768569,0.12020631137388169,0.05739664794271071,0.6097151546176153,8.590482427126588,-306.40084542479724,197.07967981158728,127.34807199512484,2024-05-23-r-sl2,-r-
-0.03990510925806725,-0.4472179693621031,0.33981400231974207,0.13651708239254254,0.0384550495936056,0.04692471195072356,0.12702392200346735,0.06520852227782814,0.5916181809515452,-57.056640121787886,-399.9388220583244,359.5869487567383,304.69438306237254,2024-05-23-r-sl2,-r-
-0.03985179753963259,-0.4203636724528115,0.31452155780680996,0.13024167774040696,0.030172357961813334,0.04975407750653016,0.11830439229582027,0.06525732866016098,0.554244462331365,-170.11697799493558,-558.4156145947925,639.3366455722326,629.7837863879921,2024-05-23-r-sl2,-r-
-0.039796631975808044,-0.3817851327564852,0.28273523170358356,0.11922495155584789,0.024056526377430498,0.05131570458466039,0.10223634260950054,0.06338240094249337,0.5030988161345539,-249.804431864502,-662.7763222038182,832.2737251468147,856.8606730597888,2024-05-23-r-sl2,-r-
-0.039752553548544206,-0.33563712788973477,0.24700671642974859,0.10498080151675543,0.022631265281505525,0.05565702631752378,0.08370644586388881,0.06484086184660287,0.4432216910942803,-302.7583467681796,-719.9621168860223,945.9924803799468,990.6964572630285,2024-05-23-r-sl2,-r-
-0.03969872651062198,-0.28568671267009493,0.2095018108583016,0.08866868384182847,0.027263960314065833,0.06588030469985051,0.06685336007436227,0.07347484782023317,0.3790889809020463,-335.68031468002005,-737.2572017557425,989.5215253399873,1042.7252716471207,2024-05-23-r-sl2,-r-
-0.03965034636503388,-0.23518580330734035,0.17204378709749457,0.07113233701155187,0.03620592708504408,0.08047878239334838,0.05525197766269421,0.08788537083466164,0.31455245047597946,-353.2535638558721,-719.9448249091203,974.725940448623,1026.0750590107416,2024-05-23-r-sl2,-r-
-0.0396000970977535,-0.18671494657683702,0.13627011921070986,0.05306289441903965,0.04569236303825416,0.09218902701979736,0.050464485621053407,0.10036327621571117,0.25289997395672603,-356.7402513195659,-671.1387347454164,915.916748866987,953.9990219518698,2024-05-23-r-sl2,-r-
-0.03954979481519981,-0.14209495637224617,0.10369270446627335,0.03517787884239366,0.05223690992435992,0.0930479333191988,0.05078721630849373,0.10225519408940043,0.19696929667430574,-345.04467885623393,-595.3035670283259,827.8024629151024,840.1385715466782,2024-05-23-r-sl2,-r-
-0.0395001596665683,-0.10243552823693153,0.0755025533511979,0.01827799349621468,0.05454971668122041,0.08093495210461343,0.052687848530070025,0.09090425740389074,0.14922767926083388,-317.3332799612535,-502.1240906813149,722.8213559567221,699.1908584999039,2024-05-23-r-sl2,-r-
-0.03944991858496569,-0.06831364872817905,0.05224308624146277,0.003164117809066797,0.05372405804144434,0.06124249475514387,0.05459937331892345,0.0716243160560478,0.11180904254400587,-274.94802225683185,-405.8723637252582,609.5204393447285,545.7383410492059,2024-05-23-r-sl2,-r-
-0.03940002332740409,-0.03998431225406407,0.03367810782199327,-0.00949724176666989,0.051939434907087856,0.04339792144094967,0.05776399141755284,0.05414805010568269,0.08633395022453509,-221.68120349910146,-319.5960775818937,493.2948004860881,391.6978779461264,2024-05-23-r-sl2,-r-
-0.03935000510100242,-0.01748499663117597,0.019046269326594818,-0.019284435578044583,0.050763115331869474,0.03500905261793252,0.06194461894026165,0.04617822430769769,0.07283306935765492,-163.19547974327804,-249.02833893531698,379.1571324469762,245.6709191366708,2024-05-23-r-sl2,-r-
-0.03929998752523308,-0.0005694269609725043,0.007538064771783197,-0.026097222778198762,0.050183415014540184,0.037172574068236264,0.06318073106091213,0.04833859802049767,0.068306373177665,-106.31924070724186,-191.8155053166899,274.1823295501221,114.86810638443855,2024-05-23-r-sl2,-r-
-0.03925000997246253,0.011432408372229887,-0.001372490361752382,-0.030196792685969674,0.04885459228108857,0.04474121450073032,0.05736506379619202,0.05491568673853453,0.0681513996170059,-57.81006814484084,-142.50959013606806,187.095372651485,6.161179111727922,2024-05-23-r-sl2,-r-
-0.039199994802410584,0.01963928235256939,-0.007950103398501676,-0.03215866262988361,0.045060796088226135,0.0507519031841569,0.04444557571389962,0.05895663288782682,0.06922409323444627,-22.20302966260988,-98.31948610815809,124.94791386612178,-75.39736120418014,2024-05-23-r-sl2,-r-
-0.039150001562178544,0.025426371807235282,-0.012441648129246134,-0.03269752868943132,0.0385780746778214,0.051007959715577034,0.02963573187999423,0.05698724197747296,0.07045795012210038,0.19969145228752705,-60.78341340990079,89.47793466948191,-128.0035892071324,2024-05-23-r-sl2,-r-
-0.039100000257485876,0.030086247867910698,-0.01526565389616959,-0.032419126521855454,0.03148362725655168,0.04652588849368189,0.020712003473578322,0.050889903492687405,0.071856302514359,13.548596049492799,-33.48543346700049,75.93971590449026,-153.1615300426954,2024-05-23-r-sl2,-r-
-0.03904999924320349,0.034519515446077384,-0.01702740063262394,-0.03162310212168261,0.02552657895943619,0.04201978926012484,0.02194262049238395,0.04567320107438211,0.07356692428502769,24.540415821828667,-19.129319519767044,75.15661678299215,-157.63068789459967,2024-05-23-r-sl2,-r-
