Time,MMA103,MMA108,MMA122,MMA125,MMA183,MMA191,MMA200,MMA201,MMA271,MMA273,R108,R173,R431
38,3.3624485,3.5206242,8.0258315,7.5434386,5.4626016,14.838321,3.5115783,3.9122513,5.100982,4.8434791,7.697978,12.073498,7.425164
39,7.5650914,3.1531216,9.8681266,8.6895232,4.0020696,2.1321847,6.3670173,3.8540372,4.8114618,3.4019051,6.577172,12.627769,7.1485232
40,7.0644636,2.9607237,8.15256,6.1432157,3.6208023,10.622777,3.9544854,3.3668118,4.3166271,1.8830377,4.595123,12.901647,6.3899301
41,3.5473476,3.0469255,4.3045487,2.6188545,5.6280103,11.764493,4.416856,2.8583609,3.9664173,2.3613519,6.264565,12.486937,5.2922313
42,7.0743807,3.1424217,3.2302764,10.266946,6.5495839,7.6797418,2.4618194,2.6277444,3.8566979,2.6524758,5.168767,11.430337,4.1523589
43,6.0587666,2.798521,3.3857401,9.367696,5.2100395,9.5082552,5.2742234,2.6217441,3.6906549,2.0221244,2.352203,10.359697,3.1519862
44,3.321129,2.0811197,6.164404,4.8604712,3.0636209,10.362549,8.6005435,2.6693475,3.4147587,1.9418744,5.439793,9.9547578,2.5560675
45,2.3853643,1.726388,10.291099,8.2085672,2.9302716,5.0420488,6.2700361,2.8092255,3.3123548,1.9983034,7.592389,10.243429,2.9710182
46,3.6451007,1.6981177,10.123419,7.639744,3.4039463,2.4557283,5.6432237,3.1171998,3.5918886,2.6981043,6.685144,10.341283,4.7119045
47,4.6806841,1.7372845,5.4569124,3.9794491,4.2537817,4.3194478,4.9922388,3.4036449,3.9478627,6.3102376,4.682861,9.3988527,7.3305241
48,4.3605776,2.0690099,2.7695938,5.9627751,5.3401021,2.1738182,5.6927431,3.4267295,3.8506933,5.676782,4.403487,7.642816,10.172153
49,4.0272246,2.0869978,3.1600642,5.3397008,5.5123526,6.7015458,9.17466,3.1391869,3.2835516,3.2248531,2.233965,6.0493034,12.662769
50,2.8387013,1.7542408,4.0736206,1.4477694,4.8321248,12.028621,8.7805275,2.8013994,2.760497,3.6409441,4.256431,5.1881127,14.570861
51,3.5073578,1.4227978,8.7267956,5.9745535,4.2377925,10.298024,3.6631158,2.7681911,2.6814405,5.4694833,7.36358,4.7540832,15.895861
52,5.9155608,1.3667031,10.649565,6.8119961,4.3948634,3.0345985,5.5921223,3.0718614,3.0743306,6.3451367,5.051916,4.2658458,16.705959
53,5.2891887,1.6789002,7.529285,3.2415559,4.6803484,9.5667914,5.2575052,3.3875064,3.4926284,3.7694386,4.431664,3.9039529,17.138939
54,2.0628865,1.7942126,2.2130993,5.0029892,4.1152344,6.5957465,3.4475908,3.4172156,3.6720302,1.6434498,5.234608,4.1807931,17.49457
55,2.4426657,1.6161773,4.5626753,10.636887,2.8556513,3.5416463,1.3511581,3.064687,3.7416696,2.0491767,2.117396,5.089663,17.986407
56,2.3180641,1.3679762,3.4896977,10.068523,2.3500129,5.5906766,3.521782,2.5666271,3.7468814,3.2424352,6.659242,6.123913,18.509386
57,3.1096443,1.0972502,3.7762958,6.458256,3.2886389,8.3671407,4.620804,2.4129759,3.6174624,4.2547377,6.806735,6.7683714,18.609944
58,2.1771931,0.89381911,10.408067,6.5557597,4.4587618,10.271853,3.4797703,2.7064369,3.4134454,4.0065213,3.03524,6.7664395,17.946541
59,1.4432313,0.90601469,10.7105,6.622144,4.2362187,5.6959047,4.6487053,3.0923117,3.3607389,3.2140811,4.451875,6.3426496,16.518031
60,1.9085383,1.0364205,3.9864499,3.9237907,2.8493293,1.3773865,4.493939,3.3091925,3.5779298,3.7394793,3.40614,5.9160824,14.553025
61,1.8228849,0.9953753,4.002205,2.5272432,1.6326197,2.1290404,4.9534043,3.3549337,3.9215837,5.2261225,2.029963,5.6945529,12.28884
62,2.125169,0.67844442,5.769292,3.1121434,1.8235183,4.3968497,7.8555057,3.3000258,4.1814923,5.8588954,4.173798,5.7043259,9.9968261
63,1.996779,0.46031512,2.7573025,6.1715095,2.5103839,7.5655968,7.2881059,3.1409391,4.2773469,6.2362097,4.417605,5.8086962,7.9173931
64,3.1904287,0.50713251,10.270198,9.4231436,3.1523352,6.3443159,2.809851,2.923187,4.2025854,6.6534608,4.247629,5.8753983,6.2143954
65,5.3422358,0.8419914,15.319513,9.8285231,3.6217035,2.9093928,4.3940108,2.8389424,4.0021358,6.3167302,3.416714,5.9272385,5.0647035
66,5.461771,1.4486991,13.243403,7.7764109,2.9149974,7.4803991,4.7871184,2.9609842,3.8403853,5.2344686,1.720074,5.7966659,4.3206818
67,3.6116038,1.8155705,7.1014868,5.0551435,1.4140712,5.1366222,4.2129181,3.1744078,3.9378887,4.7354051,1.369371,5.3804326,3.5765096
68,2.9295668,1.8150953,4.2111586,7.56357,0.59800096,2.2700987,1.9002755,3.3759041,4.342544,4.9147686,2.566334,4.8462029,2.7922902
69,3.7485015,1.5944692,3.7928649,7.6119561,1.1600657,3.6170229,3.0368601,3.5036194,4.7057328,5.7992038,5.26838,4.4508687,2.3708178
70,4.6023446,1.41925,6.479016,5.7130089,2.7005727,6.6004919,3.5830063,3.5520578,4.6286586,5.7740137,5.31432,4.1729125,2.561467
71,3.4441893,1.5106062,9.90036,6.4542463,3.9819043,7.8180459,1.6897219,3.5798016,4.2267894,4.8498187,2.137955,3.8684627,3.1882159
72,2.8075694,1.8113756,9.3727166,6.5135043,3.9363065,3.7894107,3.3458303,3.6052244,3.934012,4.7307975,1.854049,3.446062,4.0095641
73,2.768581,1.9917215,6.1636166,5.4256578,2.7993093,1.1086188,3.2856923,3.5511966,3.8923885,5.6741722,1.000583,3.0053851,4.9086417
74,2.7962504,1.9048893,4.4403605,2.9908197,2.0335714,2.4865143,2.7091839,3.3799376,3.9088856,6.7543873,4.662087,2.7941862,5.7398614
