Time (s),rv_z,rv_y,rv_x,la_z,la_y,la_x,la_r,rv_r,ra_x,ra_y,ra_z,ra_r,ID,TestID
-0.039930109258067274,-0.3429048602182663,-0.06669874971349696,-0.10256437864894205,-0.07648788922204965,0.017921466653299634,-0.0614363774912975,0.01589645494606695,0.33930010821552736,-241.0066580901005,520.6076019924552,451.834924586837,456.40270192347424,2024-05-23-r-sl3,-r-
-0.03990510925806725,-0.32178242632194604,-0.04187927746239383,-0.11486716989699064,-0.08311179916597158,0.022784047875800795,-0.05896975785147883,0.02075668651238116,0.3260776053040334,-210.58866441940168,511.09773366194463,528.088878896454,489.2483963400178,2024-05-23-r-sl3,-r-
-0.03985179753963259,-0.29303459699466383,-0.018010792044341792,-0.12412816177796926,-0.08385901030874734,0.016459696334111706,-0.04883092563412499,0.014084465452690709,0.3081117261053866,-157.1285857986756,486.6332322523007,659.6067721337088,558.0050715663092,2024-05-23-r-sl3,-r-
-0.039796631975808044,-0.2587603737746177,0.004362230065796863,-0.1310849451639451,-0.07604281135420819,0.008856895655489971,-0.03804844571146654,0.006079111457706121,0.288229269678277,-116.88182108943258,451.1179577230791,748.5390572951906,604.8474241677474,2024-05-23-r-sl3,-r-
-0.039752553548544206,-0.22111931593118708,0.02467918803092664,-0.1363212605739993,-0.05824502200142368,0.002917564590591226,-0.03190238365104088,-1.8396600530157237e-05,0.2692725557960647,-86.81559852050017,405.75001761543433,793.9600207500675,619.0958689959841,2024-05-23-r-sl3,-r-
-0.03969872651062198,-0.1823029963656531,0.04251541613030069,-0.1402714217030818,-0.03419567639198304,-0.0022123887945888487,-0.03238522838177278,-0.004676637576847109,0.25374637981412596,-63.79047317455125,353.11927010057354,796.4473300604452,597.1249213725243,2024-05-23-r-sl3,-r-
-0.03965034636503388,-0.1444132075911847,0.05756929934394424,-0.14320522457854104,-0.01067302008937189,-0.008235367018911921,-0.03684927638584857,-0.009559454480355445,0.2432343179658131,-45.15257663419932,294.3377778727383,759.1167909414553,539.4279148997706,2024-05-23-r-sl3,-r-
-0.0396000970977535,-0.10932994193754983,0.06952737822053459,-0.1452915960535883,0.008078715656398325,-0.015648555536219133,-0.04033153524508794,-0.015601113526454213,0.23790832704043677,-30.272218705366612,228.61866501276074,687.571960158564,449.7880779384664,2024-05-23-r-sl3,-r-
-0.03954979481519981,-0.07859463624137075,0.0780093501481802,-0.14673736313616423,0.021551315056643636,-0.022444588360190254,-0.03998202816709959,-0.021215715120055822,0.23659240577572202,-20.610134229958827,155.99005972149848,589.9682200149206,336.1222847668834,2024-05-23-r-sl3,-r-
-0.0395001596665683,-0.053271744602100504,0.08270456849564412,-0.14785752616367068,0.029140203749979568,-0.025226670165199527,-0.03759478465717231,-0.02328970218435833,0.23743537300470147,-17.380424505024948,79.84832946614156,477.3730632878372,211.67432557203753,2024-05-23-r-sl3,-r-
