Time (s),rv_z,rv_y,rv_x,la_z,la_y,la_x,la_r,rv_r,ra_x,ra_y,ra_z,ra_r,ID,TestID
-0.039930109258067274,-0.11084216431915164,0.24318812971328718,-0.07778603544457172,-0.04861257461561021,-0.06713201794035739,-0.025768871444573266,-0.07291296031968908,0.3504141575784588,155.49775278750158,130.86827087137758,93.35083402366683,-20.63787893704602,2024-05-23-r-fh2,-r-
-0.03990510925806725,-0.10590021398628796,0.24944152026844563,-0.06945822987294284,-0.035546536578097865,-0.08187966516429523,-0.03532649876482763,-0.08789407542929906,0.3506997936970686,157.9989230344069,76.13942412647441,122.0216032674395,-28.055867529703782,2024-05-23-r-fh2,-r-
-0.03985179753963259,-0.09809118672904693,0.2502220261491136,-0.060880307276623406,-0.01387189911053141,-0.08711729547169256,-0.035601532949767964,-0.09166458696580504,0.3454669160950027,164.930672939689,-21.48160406061764,173.42811361888116,1.257887129873474,2024-05-23-r-fh2,-r-
-0.039796631975808044,-0.08800858536103892,0.24671331388556256,-0.05185932671446628,0.01159678322662866,-0.08196011423665073,-0.03109477966100664,-0.08361691638536983,0.3358288189265248,175.4201078864922,-98.16992360678195,212.96764443985967,54.276798893557846,2024-05-23-r-fh2,-r-
-0.039752553548544206,-0.07624560502169994,0.23982498781161388,-0.04223246062346651,0.035130459947722,-0.06658082635256024,-0.022992825048837387,-0.06458504950132216,0.3227421569974826,188.86892321171575,-159.19720265419943,240.55138068248107,106.20904048103866,2024-05-23-r-fh2,-r-
-0.03969872651062198,-0.06340463002942973,0.23021354764332091,-0.03186659852878699,0.05150782045960753,-0.045160330454302455,-0.013204901073464156,-0.04000204626905657,0.3069871425212612,204.4750929660861,-208.73886253207328,256.4080108525814,150.15186465367765,2024-05-23-r-fh2,-r-
-0.03965034636503388,-0.05005598667308065,0.2183710555815847,-0.020679115462350135,0.05872515901484998,-0.02402627210045205,-0.00530602843616608,-0.017220470456196013,0.28921406784004744,221.06764941862326,-248.75124517297704,261.7016408093904,184.78440082299596,2024-05-23-r-fh2,-r-
-0.0396000970977535,-0.03668564868512952,0.20475837714920125,-0.008653997722416852,0.05856807482233056,-0.008377827560960505,-0.0026996700473929935,-0.0016172591994160213,0.27004530418897915,236.8561183022408,-278.92797141248735,258.06366861472094,209.24013067626777,2024-05-23-r-fh2,-r-
-0.03954979481519981,-0.023700802548247406,0.1898982124635139,0.004112332232381798,0.05469640914325444,-0.00042528133138075574,-0.006406742728146245,0.005140263950051405,0.25017987892168203,248.45629658505226,-297.7326103957043,246.37314616403512,220.95286318305193,2024-05-23-r-fh2,-r-
-0.0395001596665683,-0.011499516805364887,0.1744050701328087,0.01729746780059626,0.050419082712437835,0.0003113770592415577,-0.014693293094982851,0.004327883564137824,0.23045689235858038,250.41285832271188,-303.2133558392268,226.3876025559038,215.31577100515852,2024-05-23-r-fh2,-r-
-0.03944991858496569,-0.0005132250292959641,0.15899683090276912,0.03025945392916088,0.04680523463783315,-0.003880535088126136,-0.024901629740370565,-0.0013059932628494142,0.21183776532822243,237.08151946391555,-293.3615281045708,198.16764666543625,187.61661110755853,2024-05-23-r-fh2,-r-
-0.03940002332740409,0.008866065124539718,0.14448887134552957,0.04211145561149567,0.043224848440533176,-0.009295971651536616,-0.035234920871408955,-0.008022810324589957,0.19527298923386247,206.12947494269787,-267.26634731290727,163.91931930519607,136.67427476923564,2024-05-23-r-fh2,-r-
