Time,Clenched Hard 1,Clenched Hard 2,Clenched Hard 3,Clenched Med 1,Clenched Med 2,Clenched Med 3,Clenched Light 1,Clenched Light 2,Clenched Light 3,Relaxed Hard 1,Relaxed Hard 2,Relaxed Hard 3,Relaxed Med 1,Relaxed Med 2,Relaxed Med 3,Relaxed Light 1,Relaxed Light 2,Relaxed Light 3
-17.0,380.727863689784,319.679137847991,297.74162075757,83.4023357748493,-14.8837772264614,383.523485562981,107.077191796508,175.16856941752,78.2039546430422,231.320680551743,50.7071890819161,231.320680551743,89.0252745048494,506.319287183979,115.085566224351,705.658953151823,127.348071995124,456.402701923474
-16.962830593280916,460.885465515286,341.961308285135,185.868178196321,6.08259468295829,168.921043686158,498.187775369113,171.829662658064,175.96903617657,172.705112539042,202.789119654038,-98.7467634784139,202.789119654038,-58.3498215787198,557.348192410857,59.874848551047,874.180870779971,304.694383062372,489.248396340017
-16.92566118656183,640.521691767386,392.116424617558,190.008635489636,-40.1478600951795,651.926453720447,746.767868557621,329.222274322338,265.430375371175,375.934155577185,290.9443770848,73.0185982234641,290.9443770848,98.7867529308273,749.784878847298,-11.4351752240962,1163.58833247936,629.783786387992,558.005071566309
-16.888491779842745,779.867413224237,424.309034427412,351.92439044547,40.4478617206783,1011.68909865547,939.165760402752,448.89800578755,366.219828796181,521.29627558437,420.702478906306,315.796642585779,420.702478906306,342.451972555284,918.103746032637,-23.0111256916825,1351.4096797677,856.860673059788,604.847424167747
-16.851322373123658,867.727878494033,431.956782946621,504.785963573562,125.704485802564,1246.11793252914,1060.0634194327,519.439253016727,438.299139027888,608.679577020265,518.377692903478,493.040633840914,518.377692903478,523.614624763692,1016.13126807153,0.416687586188343,1445.0647576581,990.696457263028,619.095868995984
-16.814152966404574,909.033815690019,415.928610498588,615.114585240031,189.120830321807,1373.99242496855,1112.987104426,546.646978818623,478.902059486151,650.906180684086,575.558687096741,606.00209812688,575.558687096741,646.971793579339,1043.72839833412,28.9634929834411,1459.15963702249,1042.72527164712,597.124921372524
-16.77698355968549,911.899754415463,378.522803660839,683.938373699121,228.586874348067,1416.89882492388,1106.61075432202,539.408352140629,492.632645095021,660.475261780103,600.013911813999,661.489374571852,600.013911813999,721.816522282687,1014.113687735,47.3542862551655,1411.58975450413,1026.07505901074,539.42791489977
-16.739814152966403,884.222842382647,321.143376944147,719.348709116674,246.578230954932,1394.85446580964,1050.714448054,505.252128686293,482.272604496898,645.325791399584,601.245892281571,669.590061000605,601.245892281571,755.790617953647,942.710652644927,52.5034020418495,1318.34896663703,953.999021951869,449.788077938466
-16.70264474624732,833.63057507233,245.433770785269,729.099184924742,247.67093072704,1325.1766173035,955.694107757706,449.494195697443,448.101453597307,609.423334595357,584.758085646137,640.934031532739,584.758085646137,754.72424455839,843.33536537428,49.8730084647166,1190.8311497685,840.138571546678,336.122284766883
-16.665475339528236,767.479256050933,156.011717772685,717.91993038563,238.111624529502,1223.45867347673,833.133988802357,377.171845543177,392.094166185733,555.905239473284,551.513077374945,583.676801131876,551.513077374945,725.180256796523,727.855224108755,48.4153361936166,1037.10723555951,699.190858499903,211.674325572037
-16.62830593280915,692.433241444984,62.3726971692847,687.909570310855,225.34491151467,1103.74871722189,695.814160427783,295.714533170273,321.799361446771,489.250937861865,501.200851403319,503.349871160664,501.200851403319,676.042181723403,606.462976983918,54.3532330143843,864.864834601183,545.738341049205,94.7449591413437
-16.591136526090065,614.761634374495,-21.0297130877426,640.896122046344,216.350768365353,977.063799030588,556.731684956681,215.017114525031,249.113642463845,414.478225826537,436.03819791897,405.844253330948,436.03819791897,616.679448629447,487.607439920599,67.1733120304944,682.78088801989,391.697877946126,7.34528848651548
-16.553967119370977,540.945051477387,-76.2549821748028,580.173481078624,214.770478939871,850.207031462243,427.00575765495,143.476897007073,184.453455778661,335.209411120261,361.670525311358,300.208736701398,361.670525311358,553.523187115452,377.728979311372,80.2705245755757,499.692205366165,245.67091913667,-28.0937363157509
-16.516797712651893,476.90661251626,-91.5429595181327,510.210262847854,218.767707879268,726.591064857358,313.102380637094,83.5020465933783,131.914563710896,253.606052243114,284.392900104401,198.148201979002,284.392900104401,488.737787773192,280.986413190294,85.7568126373027,323.824526514532,114.868106384438,-7.82119527437497
-16.47962830593281,425.590889932105,-79.1945579934197,435.275789055605,222.033763667365,608.636472854068,215.440431601246,32.8657616707035,89.9172815487829,171.536801680861,207.364552337708,111.111500648336,207.364552337708,421.886714062784,199.087257667583,80.0495712435668,164.777286060672,6.16117911172792,43.9261519864096
-16.442458899213722,385.078971644979,-60.2782423194834,358.466887537309,217.719965995117,500.181599452491,130.32340343159,-7.79567011694156,55.6455358055104,90.6068393777558,129.578999774471,48.3133386961338,129.578999774471,352.075302196278,131.170736382247,65.9726210449166,40.1399043889308,-75.3973612041801,101.882635370204
-16.40528949249464,349.584949976806,-44.9097479765052,282.098670084567,201.754942090348,407.629862729038,54.2930685919948,-30.8636641390347,27.7087277955805,12.1877275581087,48.8316978123499,15.1034539849381,48.8316978123499,278.543965414347,75.180276105314,49.8264779045337,-17.0980667616851,-128.003589207132,149.330701715926
-16.368120085775555,312.412174489677,-35.3507078141982,209.398609798892,172.625421599589,338.597314463814,-11.8983799948401,-30.0432214011046,5.15860069117075,-60.2518984152112,-32.2285292922295,8.29577394528934,-32.2285292922295,200.883985911083,32.0018766602742,36.7045779918836,-1.03363243651144,-153.161530042695,177.945828118435
