Time,Clenched Hard 1,Clenched Hard 2,Clenched Hard 3,Clenched Med 1,Clenched Med 2,Clenched Med 3,Clenched Light 1,Clenched Light 2,Clenched Light 3,Relaxed Hard 1,Relaxed Hard 2,Relaxed Hard 3,Relaxed Med 1,Relaxed Med 2,Relaxed Med 3,Relaxed Light 1,Relaxed Light 2,Relaxed Light 3
-17.0,189.488639281166,271.62063127385,40.6197277837789,279.796126914375,268.706453057677,24.4951456433624,-66.6562409123604,200.096785338713,240.843546958099,156.779645828989,-20.637878937046,219.80254376139,584.212502324575,179.542350747594,283.886911080293,403.324192346077,199.556441298606,-13.3313494813679
-16.962830593280916,164.790309556052,408.263718579872,24.7729934791443,334.231520698456,305.168138298206,86.779175226544,-2.42151773132244,218.953462301293,180.930885913825,138.549860771603,-28.0558675297037,410.715648241235,570.101445034881,435.562628903858,370.784735094275,480.061791014209,225.808128820524,-21.1767050457361
-16.92566118656183,220.967492307952,711.67426838631,56.1616568024364,458.276395130965,365.684446961494,342.033902682225,178.456794129718,249.636484853008,114.601769992084,346.626920824013,1.25788712987347,768.658857270223,533.939240103243,878.743626212279,543.818207725452,607.468839028609,278.799376032916,94.9102397498214
-16.888491779842745,308.380447836357,928.732933123259,112.901848584515,548.040404888584,398.544379468716,557.695380621908,327.722713157795,258.559116748905,101.572157603361,576.889144352701,54.2767988935578,1029.48215609808,479.811768507359,1187.00353264022,673.561650090772,674.515733601831,312.97417844922,224.215165800941
-16.851322373123658,367.071959518082,1050.46562068367,160.07349117387,593.39989567179,405.51640510703,705.631317653313,429.285271627974,250.417673450981,103.236394929271,746.88586722558,106.209040481038,1194.71909197723,408.812452879189,1379.12028891894,752.055953341385,686.265890519723,324.617853808461,323.675669079461
-16.814152966404574,386.898663403338,1093.00201155232,188.311917334691,601.032707089031,391.722108796103,787.974417629739,484.121889843646,234.350434732964,99.799623471707,855.611801885356,150.151864653677,1274.07865688353,324.81435471249,1477.63765747113,781.302056297386,653.672674028301,315.923266137966,393.157538666486
-16.77698355968549,375.228834179983,1078.4638037269,196.54487708471,582.331179030826,364.175837084035,813.583334720988,497.525773392998,217.4817259802,88.3316089835082,912.381890923265,184.784400822995,1280.11014338448,231.02347823292,1504.42505704516,767.965881717588,588.798210475838,292.124341014788,434.800980509037
-16.739814152966403,346.423088171283,1027.22257684501,186.887658830816,547.56541492597,330.08284654503,796.24656366037,477.65190223506,201.810098457361,72.3808901842122,926.826034158585,209.240130676267,1226.80421072749,129.296514398266,1476.69261389919,721.143337130276,501.162327534566,260.478889756903,447.672999356723
-16.70264474624732,315.911022346267,954.412401716393,162.728228801794,503.906758182993,295.453016967093,752.530373366077,434.498511859509,186.000596563697,55.7449365002477,908.66964534747,220.952863183051,1128.82945729998,22.5869063956267,1407.30942879792,650.514528822173,397.501967657586,229.378843176261,430.466970894176
-16.665475339528236,295.433089913493,870.483056150194,128.392949873361,455.791382188423,264.005335984882,697.850717238304,377.483549603736,168.241643169859,40.3349370239355,868.515872366663,215.315771005158,1000.07460188897,-82.3087024390686,1307.97103013218,565.250026331996,284.061858553776,206.427662562093,385.429342181782
-16.62830593280915,289.89149112028,782.921176872824,90.377783737692,405.297520951462,236.970630679415,643.076421444701,312.668957759028,146.644097465517,25.5894570659643,815.594474252669,187.616611107558,851.655435733913,-142.88174671759,1190.73052648834,473.917315128085,168.179355481302,195.834093997911,319.279497753596
-16.591136526090065,296.860681870236,696.614143458644,58.1539809629716,352.257894566752,214.031558096074,593.72134462609,242.61951743574,118.441031692183,9.46489599507967,754.111747055785,136.674274769235,691.375005368204,-68.2624929359348,1065.91566691844,384.168756754875,57.7802226697862,196.467178742457,241.810460055925
-16.553967119370977,309.142610406498,613.548088907735,41.3695659257269,295.488630072302,193.928671749033,551.115345780244,169.949471987527,80.8517553333161,-8.4459461478377,683.533424948383,67.540620236192,525.694502891016,8.31935796189838,939.338334456779,301.720862629097,-38.5497378655637,202.167201301967,164.977493114475
