Time,Smoothed_Upper_Signal,Smoothed_Lower_Signal
0,510.01728990755925,19.72195994358979
1,471.1512374419903,20.746681301167563
2,413.54497541867175,24.360869074985644
3,376.5333895172213,31.14377989768419
4,403.5840792617647,39.26787798000299
5,531.0490382127264,44.320394288212185
6,818.5285696785717,41.61131617471471
7,1350.5841146006542,31.84116727373477
8,2097.7010785057273,21.61107013917662
9,2823.6805674316324,16.322551685046843
10,3309.900861252201,15.905902198810526
11,3621.9257196499416,17.2802202141462
12,3978.259633069074,17.931461798385964
13,4419.962498891617,17.063917365065656
14,4741.686040661038,14.99898312456732
15,4725.853833724512,12.478837105040054
16,4386.3052706623,10.410096357763788
17,3934.1535633874128,9.53842651512037
18,3551.093226113152,10.107835959707717
19,3269.1251321197587,11.831552576194277
20,3041.493006619159,14.160506325986344
21,2867.266517695518,17.369125000090925
22,2779.040349407447,23.0667487323475
23,2746.2513237509575,31.087812865567397
24,2683.1403440214194,36.96745506013755
25,2527.085930734881,37.177739116258536
26,2273.476294812365,34.702048328344084
27,1970.1767765970162,33.596078310090775
28,1693.6550148496997,32.40946492284604
29,1499.1971718451223,28.891235339328233
30,1387.9663398920281,24.758445139041388
31,1342.0126722729829,21.59315203838665
32,1355.582007616284,18.26631830287951
33,1407.497800032184,14.327340401654594
34,1464.1429605563126,11.366182918313115
35,1518.384978652458,10.409013538816286
36,1576.4465079627112,10.755424185267017
37,1628.5236886826478,11.294322950518197
38,1658.2127568579515,11.232839576662771
39,1656.1193586249524,10.188400225901354
40,1620.875512163813,8.736665459527385
41,1559.7186687390872,8.019920874697627
42,1485.6050236291253,8.329184475874715
43,1409.9231774819984,9.129733084676657
44,1339.0318616126483,10.68368387338194
45,1278.6377769242488,14.525566972029527
46,1236.4876089843879,21.82036763575779
47,1214.1193275739324,31.415558375362618
48,1198.7501442290622,39.795458169727425
49,1169.1067581848179,43.551089589655746
50,1114.6746922535563,41.95373039970153
51,1051.8445862665603,37.03768798093509
52,1014.9881320007773,31.818061347163113
53,1023.102333947837,28.512969638683288
54,1051.8326822878328,27.78976382452295
55,1060.3286533018256,29.078306864068313
56,1043.549344759088,31.092745153723737
57,1022.3836479960582,32.58010070948275
58,1012.4439214138029,33.507306808786126
59,1028.3353731708137,35.30104413109705
60,1065.2350461999058,39.459354360894565
61,1088.0244507556413,45.49117646472816
62,1093.7429131768413,50.57528221188085
63,1114.9998849453536,52.16130063696123
64,1123.8323053612817,49.91631078029131
65,1052.0947780903514,44.809749295076415
66,914.8081154933761,38.42175718883024
67,793.6075734396259,33.19501056420813
68,727.8556994109383,30.721170601535494
69,695.5110551224707,30.207760180721685
70,656.4090064019922,30.462495515926815
71,592.2319323138369,31.588128571168703
72,528.0226257665893,34.06057338583368
73,501.9048895117662,37.66487602783811
74,515.4620759515826,40.99195219136054
75,537.6310844535247,41.736427147801066
76,549.5340860956726,38.84426491629084
77,565.356728304976,34.04729011176702
78,606.5365991134297,30.00130097444049
79,669.5246493125753,28.05420668352424
80,729.6947915219071,28.31303175681634
81,766.3240345181707,29.927299229899496
82,774.8335222374103,31.052950848528944
83,762.4780104943042,30.323851290261757
84,739.3725741985137,28.266775622459626
85,712.3277453641479,26.40539277445012
86,682.9912500612438,26.044805620567743
87,649.5474014307716,27.67477635343793
88,610.4714826037613,30.527197196461586
89,566.9069435483127,33.724085089927094
90,521.8493996119927,37.170296724522416
91,479.3535444208395,40.29155357614829
92,444.8490731121555,41.82710718851001
93,423.7996748086437,41.13318820012206
94,417.7436019029483,38.215376190312966
95,420.694548850081,33.870601450295666
96,423.7019260241756,30.565417056795518
97,422.7327693454363,30.54172994783596
98,419.56280328941034,32.866483349741344
99,427.3132862544147,35.07491173570472
100,483.51856252180005,37.22012414193398
101,635.9330121195943,41.834607696715935
102,871.4667418295913,49.48707224465939
103,1062.8283927957516,55.94842928240078
