Time,Smoothed_Upper_Signal,Smoothed_Lower_Signal
0,5.993744116964052,1.0237000269587804
1,6.030879309901733,0.9773165793969978
2,5.831089237016695,0.9330949738866805
3,5.4809656319303866,0.9704372413864351
4,5.482466869664446,1.1029253430147195
5,6.180620331301535,1.2610848593234323
6,7.782313476158436,1.429492550657768
7,10.834763301757334,1.7207697390884182
8,15.824031182370291,2.2737763394082684
9,22.504376446638133,3.0642790953852783
10,30.32003279841961,3.790023683833716
11,38.44586830942714,4.0645098565953965
12,44.74418746363419,3.852588279188929
13,46.7708022737186,3.493168032094228
14,44.595741384590134,3.2327495581217245
15,40.51571301375439,3.0877375736219124
16,36.135128093013606,3.060691762953682
17,31.62281965629677,3.1801083753170083
18,27.078169600215645,3.388226943978137
19,23.229240987029627,3.5318110795107733
20,20.92165020322929,3.5471943445526644
21,20.297367375153957,3.51598206051641
22,20.538614367063516,3.4306886303099446
23,20.564126835596838,3.2037375765813323
24,19.8962272981747,2.971078193848684
25,18.73513055345594,3.0262350041066752
26,17.434577429806346,3.4024469758141143
27,16.133525247552626,3.7928537687542594
28,14.883409547967483,3.9012996832692806
29,13.788818600003065,3.6526953258901376
30,12.839287274206553,3.1429891259438607
31,11.951329593461754,2.6370319739546235
32,11.267407866761111,2.4695254545102743
33,11.098695717396668,2.720101299366186
34,11.614309197311233,3.1094763337237907
35,12.636011554177124,3.320773023294107
36,13.573130683256547,3.2503261822310936
37,13.838050831331955,2.9568139280382537
38,13.445628236302316,2.594769091120906
39,12.809809037775809,2.3429895054221923
40,12.151739427065678,2.2445570979839347
41,11.49426025659956,2.1898016660705335
42,10.919347433026868,2.087004125657958
43,10.526244379619918,1.9519533762229466
44,10.306163496406935,1.8460378621920797
45,10.247065377531317,1.809631875046197
46,10.506766308148855,1.8337689477594943
47,11.30684887109842,1.8513667639354852
48,12.61617274524756,1.7897286838309423
49,14.094614920599788,1.660002508095312
50,15.38337691841256,1.550068507055819
51,16.3370243039625,1.5150647316763266
52,17.006191489401363,1.519725014174052
53,17.505246982766423,1.4932679301145153
54,17.885966584601118,1.4061314561435236
55,18.07196137818364,1.27666808535392
56,17.892951716361768,1.139368774506196
57,17.19610997802041,1.0317228922132786
58,15.947375167397084,0.9707142188963671
59,14.271344984057382,0.9253386540216069
60,12.476816632465269,0.8476392659226144
61,11.087967172971847,0.7426576276797414
62,10.649221599510703,0.6842891559911156
63,11.114297323399471,0.7446780639578154
64,11.531634774420297,0.9055893686295381
65,10.95719674358301,1.0541794615802562
66,9.59148521916621,1.1060425404010732
67,8.387860248236052,1.1153471217716828
68,7.89607790105073,1.187056021990886
69,7.990493612303924,1.3232032381588916
70,8.184264597344356,1.4422991543765147
71,8.015715453862311,1.5003968555768203
72,7.499871134310975,1.5315902249424858
73,7.031828326001142,1.5708281676513174
74,6.847570938901048,1.6003579795175635
75,6.919239279148498,1.6217146675196057
76,7.187363398453878,1.6936556380714893
77,7.616230865202192,1.850655133635049
78,8.119262325805938,2.038339507393621
79,8.538205456968397,2.1629723517518946
80,8.700202019417587,2.1930773268936417
81,8.513184991807181,2.1714088872532447
82,8.030444888678087,2.1379726162101687
83,7.42258621938004,2.0842608720989855
84,6.874822380603508,1.9617679260421514
85,6.497562473181386,1.743241768412201
86,6.295890722637311,1.5021795932847464
87,6.191482165708474,1.3884953875736918
88,6.088801338033608,1.4985916458656932
89,5.933122338216322,1.7787049494977738
90,5.728318809715221,2.07527655629712
91,5.547155020267274,2.2822117923271064
92,5.519878087919624,2.3967705734834146
93,5.774255431343539,2.45737300184458
94,6.350302144152365,2.4759285986390394
95,7.1192657921259,2.434098430265105
96,7.8091880509837,2.3412195231195088
97,8.198559645445245,2.2504804720062683
98,8.278099712805915,2.18886278657149
99,8.196816852252999,2.127018013937345
100,8.158527134644473,2.0545509309789547
101,8.436968445001114,2.028582628998212
102,9.180353312050174,2.0926843064826652
103,9.935672868226021,2.1801328994753604
